sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
APP_CCDS13576.1_ex14_21:27425550-27425573:-_5-4	APP	382	489	337	460	225	168	543	519	197	322	365	346
APPBP2_CCDS32699.1_ex11_17:58577817-58577840:-_5-4	APPBP2	296	453	70	166	34	168	202	300	143	175	201	233
APPBP2_CCDS32699.1_ex6_17:58539391-58539414:-_5-1	APPBP2	2	5	0	0	0	0	0	0	0	0	0	0
APPBP2_CCDS32699.1_ex9_17:58556610-58556633:-_5-3	APPBP2	24	28	3	0	6	0	22	41	0	0	50	109
APPBP2_CCDS32699.1_ex9_17:58556551-58556574:+_5-2	APPBP2	108	108	58	49	0	45	69	57	21	50	114	45
APPBP2_CCDS32699.1_ex12_17:58603174-58603197:+_5-5	APPBP2	483	551	3776	216	254	529	332	282	496	637	571	1005
APPL1_CCDS2882.1_ex10_3:57283418-57283441:+_5-4	APPL1	544	696	613	244	300	736	504	551	256	434	384	679
APPL1_CCDS2882.1_ex9_3:57282334-57282357:+_5-3	APPL1	45	101	76	224	100	16	143	152	38	55	37	85
APPL1_CCDS2882.1_ex10_3:57283447-57283470:+_5-5	APPL1	796	941	828	490	503	1190	628	658	611	924	864	1132
APPL1_CCDS2882.1_ex1_3:57269652-57269675:-_5-1	APPL1	108	110	11	158	119	21	201	219	123	191	48	45
APPL1_CCDS2882.1_ex1_3:57269670-57269693:+_5-2	APPL1	286	360	159	529	81	491	232	304	196	271	156	143
APPL2_CCDS58275.1_ex13_12:105600957-105600980:-_5-4	APPL2	128	169	0	49	43	36	108	76	131	235	71	57
APPL2_CCDS58275.1_ex15_12:105601934-105601957:-_5-5	APPL2	403	415	381	146	299	798	435	376	272	438	339	401
APPL2_CCDS58275.1_ex13_12:105600907-105600930:+_5-3	APPL2	372	544	202	178	521	278	340	351	182	345	508	501
APPL2_CCDS58275.1_ex11_12:105593266-105593289:+_5-2	APPL2	853	1155	1102	1008	1102	1107	1384	1132	1132	1603	1002	1449
APPL2_CCDS58275.1_ex11_12:105593188-105593211:-_5-1	APPL2	371	439	177	203	767	113	194	221	275	303	140	195
APRT_CCDS32511.1_ex2_16:88876948-88876971:-_5-2	APRT	419	589	84	71	165	547	373	446	141	264	214	302
APRT_CCDS32511.1_ex2_16:88876884-88876907:-_5-1	APRT	396	504	23	214	269	95	250	318	241	334	368	501
APRT_CCDS32511.1_ex3_16:88877987-88878010:+_5-4	APRT	677	782	409	295	543	675	695	547	514	608	540	815
APRT_CCDS32511.1_ex3_16:88878041-88878064:-_5-5	APRT	1050	1186	521	805	331	972	899	653	892	951	762	1147
APRT_CCDS32511.1_ex3_16:88877956-88877979:-_5-3	APRT	1003	1330	1049	300	860	375	639	549	552	688	436	808
APTX_CCDS47956.1_ex3_9:32985967-32985990:-_5-2	APTX	454	700	301	108	286	682	407	503	344	404	310	345
APTX_CCDS47956.1_ex4_9:32987645-32987668:-_5-3	APTX	0	6	0	0	0	0	0	0	0	0	0	0
APTX_CCDS47956.1_ex6_9:32989755-32989778:-_5-5	APTX	405	445	411	225	97	288	426	489	455	476	352	621
APTX_CCDS47956.1_ex4_9:32987683-32987706:+_5-4	APTX	707	879	426	971	1250	1159	920	672	789	858	656	847
APTX_CCDS47956.1_ex2_9:32984792-32984815:-_5-1	APTX	235	280	29	316	62	237	268	619	250	312	295	327
AQP1_CCDS5431.1_ex1_7:30961814-30961837:-_5-4	AQP1	359	350	122	74	165	152	289	311	250	304	196	196
AQP1_CCDS5431.1_ex2_7:30962169-30962192:+_5-5	AQP1	373	402	1058	96	1317	310	323	289	381	493	398	478
AQP1_CCDS5431.1_ex1_7:30961791-30961814:+_5-3	AQP1	659	763	1173	773	179	384	888	810	558	757	392	565
AQP1_CCDS5431.1_ex1_7:30961765-30961788:-_5-2	AQP1	418	478	143	69	90	159	292	412	354	497	381	443
AQP1_CCDS5431.1_ex1_7:30961750-30961773:+_5-1	AQP1	718	831	594	1129	1305	804	525	556	479	593	583	642
AQP10_CCDS1065.1_ex1_1:154294496-154294519:-_5-1	AQP10	107	134	3	162	112	40	118	175	109	153	61	125
AQP10_CCDS1065.1_ex3_1:154295797-154295820:-_5-4	AQP10	347	302	65	329	65	580	402	264	306	419	290	164
AQP10_CCDS1065.1_ex2_1:154295487-154295510:-_5-2	AQP10	988	1228	1549	869	360	926	883	963	978	1462	828	928
AQP10_CCDS1065.1_ex3_1:154295718-154295741:+_5-3	AQP10	126	151	104	313	18	24	130	82	163	178	56	67
AQP10_CCDS1065.1_ex4_1:154296103-154296126:+_5-5	AQP10	167	242	19	93	31	48	119	111	92	39	106	205
AQP11_CCDS8251.1_ex0_11:77301219-77301242:-_5-1	AQP11	611	743	743	307	1599	428	728	1074	631	1059	545	864
AQP11_CCDS8251.1_ex0_11:77301306-77301329:-_5-3	AQP11	479	556	498	237	341	238	491	972	421	393	399	403
AQP11_CCDS8251.1_ex0_11:77301259-77301282:-_5-2	AQP11	390	417	168	397	79	438	267	210	204	332	245	352
AQP11_CCDS8251.1_ex0_11:77301334-77301357:-_5-4	AQP11	734	941	2182	730	526	975	1135	1111	805	1231	1098	1067
AQP11_CCDS8251.1_ex0_11:77301369-77301392:+_5-5	AQP11	658	711	211	272	1340	610	652	649	701	777	705	881
AQP12B_CCDS46560.1_ex2_2:241621938-241621961:-_5-2	AQP12B	651	735	586	382	449	1030	659	811	633	875	818	942
AQP12B_CCDS46560.1_ex2_2:241621988-241622011:-_5-3	AQP12B	511	701	278	78	189	236	292	344	168	244	400	385
AQP12B_CCDS46560.1_ex2_2:241622072-241622095:-_5-4	AQP12B	598	724	573	445	596	488	364	510	309	348	459	484
AQP12B_CCDS46560.1_ex2_2:241621854-241621877:-_5-1	AQP12B	1010	1116	1146	601	1045	915	1171	888	816	960	670	1324
AQP12B_CCDS46560.1_ex2_2:241622111-241622134:-_5-5	AQP12B	247	195	634	121	21	148	274	356	218	255	154	208
AQP2_CCDS8792.1_ex0_12:50344861-50344884:+_5-3	AQP2	628	706	1659	828	674	1839	576	525	811	996	383	883
AQP2_CCDS8792.1_ex0_12:50344762-50344785:+_5-1	AQP2	564	589	217	495	1260	501	398	591	441	509	525	733
AQP2_CCDS8792.1_ex1_12:50347937-50347960:+_5-4	AQP2	237	329	382	41	58	80	233	206	214	233	178	311
AQP2_CCDS8792.1_ex0_12:50344783-50344806:+_5-2	AQP2	628	725	688	234	410	655	1507	1078	622	632	633	985
AQP2_CCDS8792.1_ex1_12:50348015-50348038:+_5-5	AQP2	804	916	588	571	200	770	804	641	689	810	687	1075
AQP3_CCDS6542.1_ex4_9:33443868-33443891:-_5-5	AQP3	1149	1148	687	962	1492	1370	1065	1002	1023	1627	1229	1392
AQP3_CCDS6542.1_ex4_9:33443829-33443852:+_5-4	AQP3	546	685	227	418	1381	685	626	609	528	881	340	501
AQP3_CCDS6542.1_ex2_9:33442920-33442943:+_5-1	AQP3	83	138	20	90	81	36	73	84	41	68	105	239
AQP3_CCDS6542.1_ex2_9:33442949-33442972:+_5-2	AQP3	344	423	350	607	540	351	821	862	314	361	269	378
AQP3_CCDS6542.1_ex3_9:33443420-33443443:+_5-3	AQP3	438	543	156	424	239	403	440	685	466	520	418	676
AQP4_CCDS11889.1_ex3_18:24442377-24442400:+_5-4	AQP4	283	318	146	20	249	512	239	369	460	491	317	504
AQP4_CCDS11889.1_ex3_18:24442232-24442255:+_5-3	AQP4	1	1	0	0	0	0	0	0	0	0	0	0
AQP4_CCDS11889.1_ex2_18:24441220-24441243:+_5-1	AQP4	507	669	331	650	751	472	431	392	410	470	709	923
AQP4_CCDS11889.1_ex3_18:24442174-24442197:+_5-2	AQP4	168	227	52	41	69	298	207	289	159	267	181	227
AQP4_CCDS11889.1_ex3_18:24442413-24442436:-_5-5	AQP4	269	310	219	206	233	276	259	242	309	414	339	665
AQP5_CCDS8793.1_ex0_12:50355889-50355912:+_5-1	AQP5	494	532	478	833	249	393	951	1917	359	428	447	495
AQP5_CCDS8793.1_ex0_12:50355931-50355954:+_5-2	AQP5	722	867	616	498	905	446	700	720	542	730	706	671
AQP5_CCDS8793.1_ex1_12:50357279-50357302:+_5-5	AQP5	519	714	1732	425	737	881	468	711	598	912	491	676
AQP5_CCDS8793.1_ex0_12:50356036-50356059:+_5-3	AQP5	691	864	572	1109	702	605	592	950	611	865	829	713
AQP5_CCDS8793.1_ex0_12:50356111-50356134:-_5-4	AQP5	443	485	342	789	419	315	403	300	374	381	287	610
AQP6_CCDS31798.1_ex0_12:50367116-50367139:-_5-2	AQP6	785	887	620	1029	455	1505	880	674	858	1063	743	931
AQP6_CCDS31798.1_ex0_12:50367053-50367076:-_5-1	AQP6	480	638	205	257	262	724	325	198	461	568	487	696
AQP6_CCDS31798.1_ex0_12:50367247-50367270:-_5-4	AQP6	632	708	546	174	836	1211	439	389	535	632	714	614
AQP6_CCDS31798.1_ex0_12:50367341-50367364:-_5-5	AQP6	457	556	188	191	336	940	450	323	427	397	366	546
AQP6_CCDS31798.1_ex0_12:50367201-50367224:-_5-3	AQP6	685	609	507	769	478	617	424	700	489	670	562	670
AQP7_CCDS6541.1_ex2_9:33386132-33386155:-_5-2	AQP7	571	613	287	76	273	194	472	430	467	524	193	312
AQP7_CCDS6541.1_ex2_9:33386160-33386183:+_5-3	AQP7	851	1056	381	507	555	979	789	1058	737	699	698	751
AQP7_CCDS6541.1_ex4_9:33386977-33387000:-_5-4	AQP7	627	758	474	237	717	309	519	556	679	644	420	588
AQP8_CCDS10626.1_ex1_16:25228613-25228636:+_5-1	AQP8	637	722	991	488	446	845	338	417	700	734	482	734
AQP8_CCDS10626.1_ex2_16:25232846-25232869:-_5-4	AQP8	445	544	503	166	328	829	391	424	431	631	127	254
AQP8_CCDS10626.1_ex1_16:25228747-25228770:-_5-3	AQP8	822	983	1477	506	893	726	866	1117	688	962	743	911
AQP8_CCDS10626.1_ex1_16:25228663-25228686:+_5-2	AQP8	334	374	175	703	95	310	886	301	212	315	377	374
AQP8_CCDS10626.1_ex3_16:25235720-25235743:+_5-5	AQP8	579	757	953	642	467	1017	794	807	792	930	574	778
AQP9_CCDS10165.1_ex2_15:58465334-58465357:-_5-4	AQP9	167	220	262	66	124	285	238	144	244	260	199	292
AQP9_CCDS10165.1_ex3_15:58467199-58467222:-_5-5	AQP9	107	153	39	75	22	253	148	198	75	168	132	222
AQP9_CCDS10165.1_ex1_15:58458971-58458994:-_5-2	AQP9	204	281	372	409	73	297	148	194	290	353	320	368
AQP9_CCDS10165.1_ex1_15:58458906-58458929:+_5-1	AQP9	220	269	64	109	464	216	175	185	180	236	169	291
AQP9_CCDS10165.1_ex2_15:58465280-58465303:-_5-3	AQP9	252	338	375	152	291	82	298	148	179	377	104	74
AQPEP_CCDS4124.1_ex0_5:115298700-115298723:-_5-4	AQPEP	553	690	560	875	547	509	804	847	355	679	434	670
AQPEP_CCDS4124.1_ex0_5:115298563-115298586:+_5-3	AQPEP	716	933	1860	775	662	1528	1159	1046	791	1005	706	965
AQPEP_CCDS4124.1_ex0_5:115298836-115298859:-_5-5	AQPEP	499	575	603	690	347	549	660	516	413	566	400	394
AQPEP_CCDS4124.1_ex0_5:115298417-115298440:-_5-1	AQPEP	585	719	728	579	673	702	548	775	576	745	512	736
AQPEP_CCDS4124.1_ex0_5:115298528-115298551:-_5-2	AQPEP	838	924	764	493	746	827	737	642	848	1033	600	801
AQR_CCDS42013.1_ex18_15:35202431-35202454:-_5-3	AQR	883	1020	342	322	157	728	655	542	454	652	399	463
AQR_CCDS42013.1_ex18_15:35202467-35202490:-_5-4	AQR	349	389	4	3	95	30	525	560	202	258	260	293
AQR_CCDS42013.1_ex17_15:35198836-35198859:-_5-1	AQR	729	805	311	207	102	243	294	316	230	473	135	344
AQR_CCDS42013.1_ex18_15:35202382-35202405:+_5-2	AQR	628	759	492	282	229	347	203	309	167	303	350	202
AQR_CCDS42013.1_ex24_15:35224595-35224618:-_5-5	AQR	222	333	0	11	0	111	50	23	91	54	52	31
AR_CCDS14387.1_ex1_X:66863233-66863256:+_5-1	AR	213	317	83	454	633	477	1137	1481	430	562	268	307
AR_CCDS14387.1_ex2_X:66905931-66905954:+_5-3	AR	232	254	81	44	4	252	87	112	100	185	87	174
AR_CCDS14387.1_ex3_X:66931259-66931282:+_5-5	AR	104	121	0	21	0	54	283	180	55	74	71	186
AR_CCDS14387.1_ex3_X:66931243-66931266:-_5-4	AR	534	709	506	269	1265	707	946	1086	444	731	330	227
AR_CCDS14387.1_ex2_X:66905864-66905887:-_5-2	AR	961	949	537	1611	700	1671	858	819	938	1131	841	1332
ARAF_CCDS35232.1_ex1_X:47422632-47422655:-_5-1	ARAF	468	611	766	647	485	480	460	389	819	1092	615	1029
ARAF_CCDS35232.1_ex2_X:47424194-47424217:+_5-3	ARAF	299	453	651	1038	96	598	374	530	262	460	374	399
ARAF_CCDS35232.1_ex1_X:47422704-47422727:+_5-2	ARAF	418	403	315	73	13	529	472	424	543	583	247	286
ARAF_CCDS35232.1_ex2_X:47424276-47424299:-_5-5	ARAF	827	900	808	833	2720	834	955	1029	584	1109	713	815
ARAF_CCDS35232.1_ex2_X:47424232-47424255:-_5-4	ARAF	530	590	231	267	705	829	431	490	700	697	496	608
ARAP1_CCDS41687.1_ex27_11:72422476-72422499:+_5-4	ARAP1	409	456	256	45	236	599	209	241	290	276	299	461
ARAP1_CCDS41687.1_ex24_11:72420974-72420997:-_5-2	ARAP1	663	699	475	591	326	798	623	965	514	592	505	750
ARAP1_CCDS41687.1_ex28_11:72423374-72423397:-_5-5	ARAP1	574	686	1295	548	532	378	520	441	531	671	442	471
ARAP1_CCDS41687.1_ex20_11:72413948-72413971:-_5-1	ARAP1	336	444	1209	140	531	172	265	386	240	287	300	388
ARAP1_CCDS41687.1_ex26_11:72422167-72422190:+_5-3	ARAP1	361	438	587	136	98	274	434	254	256	314	421	627
ARAP2_CCDS3441.1_ex27_4:36212297-36212320:-_5-3	ARAP2	252	248	263	262	232	155	375	298	175	210	187	260
ARAP2_CCDS3441.1_ex27_4:36212345-36212368:-_5-4	ARAP2	7	10	0	8	0	0	0	17	25	34	0	83
ARAP2_CCDS3441.1_ex19_4:36161015-36161038:+_5-1	ARAP2	556	804	515	507	549	1064	709	700	569	842	512	880
ARAP2_CCDS3441.1_ex31_4:36230737-36230760:+_5-5	ARAP2	577	845	227	563	448	949	784	694	570	767	710	1031
ARAP2_CCDS3441.1_ex27_4:36212125-36212148:-_5-2	ARAP2	222	260	229	48	50	162	231	186	228	312	295	437
ARAP3_CCDS4266.1_ex23_5:141051747-141051770:-_5-2	ARAP3	411	536	178	219	398	302	422	439	429	513	450	498
ARAP3_CCDS4266.1_ex31_5:141059756-141059779:-_5-5	ARAP3	734	1004	764	470	457	1158	575	821	904	872	664	1191
ARAP3_CCDS4266.1_ex29_5:141059178-141059201:+_5-4	ARAP3	200	241	334	749	630	163	90	176	193	264	122	280
ARAP3_CCDS4266.1_ex26_5:141052591-141052614:+_5-3	ARAP3	227	267	374	326	438	249	263	368	144	203	116	282
ARAP3_CCDS4266.1_ex21_5:141051189-141051212:-_5-1	ARAP3	443	477	117	62	209	349	417	341	254	419	340	492
ARC_CCDS34950.1_ex0_8:143695228-143695251:-_5-4	ARC	652	798	378	175	36	696	585	523	465	441	403	508
ARC_CCDS34950.1_ex0_8:143695173-143695196:-_5-2	ARC	1006	1137	984	960	2228	1368	749	923	1220	1523	873	1144
ARC_CCDS34950.1_ex0_8:143695213-143695236:-_5-3	ARC	331	390	119	93	604	50	315	561	227	399	88	219
ARC_CCDS34950.1_ex0_8:143695526-143695549:-_5-5	ARC	565	756	334	209	377	587	506	475	511	738	563	833
ARC_CCDS34950.1_ex0_8:143694944-143694967:+_5-1	ARC	512	677	75	106	715	444	629	842	425	569	422	745
ARCN1_CCDS44749.1_ex4_11:118461086-118461109:+_5-5	ARCN1	353	425	32	45	0	113	112	89	65	135	171	148
ARCN1_CCDS44749.1_ex3_11:118455337-118455360:+_5-4	ARCN1	29	20	12	30	0	21	5	58	23	0	0	12
ARCN1_CCDS44749.1_ex2_11:118454715-118454738:-_5-2	ARCN1	789	809	568	166	877	329	429	620	491	661	255	351
ARCN1_CCDS44749.1_ex3_11:118455292-118455315:-_5-3	ARCN1	246	319	0	50	300	140	166	90	119	132	94	169
ARCN1_CCDS44749.1_ex1_11:118453970-118453993:+_5-1	ARCN1	434	507	49	25	30	64	89	173	168	146	86	237
AREG_CCDS3565.1_ex1_4:75312450-75312473:+_5-4	AREG	47	76	275	29	0	54	92	44	61	79	29	71
AREG_CCDS3565.1_ex1_4:75312415-75312438:-_5-3	AREG	1074	1313	772	1623	828	1359	957	1142	554	721	517	1294
AREG_CCDS3565.1_ex1_4:75312396-75312419:-_5-2	AREG	147	178	169	28	13	36	227	143	232	250	219	318
AREG_CCDS3565.1_ex1_4:75312468-75312491:-_5-5	AREG	241	292	428	126	152	84	192	124	238	279	158	225
AREG_CCDS3565.1_ex1_4:75312317-75312340:-_5-1	AREG	514	613	416	293	236	968	634	394	405	625	764	905
AREL1_CCDS41971.1_ex15_14:75150151-75150174:-_5-3	AREL1	440	483	441	341	346	431	511	430	529	575	442	499
AREL1_CCDS41971.1_ex16_14:75151147-75151170:+_5-4	AREL1	296	347	468	68	132	351	282	427	199	214	194	293
AREL1_CCDS41971.1_ex12_14:75142593-75142616:+_5-1	AREL1	353	402	211	119	54	752	621	694	193	197	232	350
AREL1_CCDS41971.1_ex16_14:75151244-75151267:-_5-5	AREL1	555	546	288	459	391	516	489	528	147	249	404	396
AREL1_CCDS41971.1_ex15_14:75150095-75150118:+_5-2	AREL1	66	71	51	7	0	0	144	75	95	148	77	26
ARF1_CCDS1565.1_ex0_1:228284913-228284936:-_5-1	ARF1	203	266	342	18	8	76	119	122	61	126	141	173
ARF1_CCDS1565.1_ex1_1:228285038-228285061:-_5-2	ARF1	634	622	283	238	440	631	535	586	484	880	359	495
ARF1_CCDS1565.1_ex2_1:228285286-228285309:+_5-3	ARF1	634	814	146	79	30	336	254	359	220	352	513	519
ARF1_CCDS1565.1_ex2_1:228285325-228285348:+_5-4	ARF1	620	672	0	145	231	301	340	341	258	223	383	485
ARF1_CCDS1565.1_ex2_1:228285398-228285421:+_5-5	ARF1	479	506	33	22	309	699	318	251	63	111	271	163
ARF3_CCDS8774.1_ex2_12:49333804-49333827:-_5-2	ARF3	508	541	250	190	416	432	573	563	311	413	366	506
ARF3_CCDS8774.1_ex2_12:49333878-49333901:-_5-3	ARF3	79	94	11	21	8	90	10	9	70	114	55	77
ARF3_CCDS8774.1_ex3_12:49334761-49334784:+_5-5	ARF3	184	174	59	269	539	269	124	73	174	297	61	145
ARF3_CCDS8774.1_ex1_12:49333544-49333567:+_5-1	ARF3	291	360	514	494	232	184	322	167	270	351	143	201
ARF3_CCDS8774.1_ex3_12:49334718-49334741:+_5-4	ARF3	159	174	122	95	156	152	193	222	82	128	80	175
ARF4_CCDS2884.1_ex3_3:57569634-57569657:+_5-2	ARF4	199	254	125	25	2	134	136	183	164	136	257	171
ARF4_CCDS2884.1_ex2_3:57563095-57563118:+_5-1	ARF4	97	133	25	53	0	5	29	28	17	39	102	249
ARF4_CCDS2884.1_ex4_3:57570102-57570125:+_5-3	ARF4	16	22	39	0	0	149	13	0	12	64	37	49
ARF4_CCDS2884.1_ex4_3:57570141-57570164:+_5-4	ARF4	1	2	0	0	0	0	0	0	0	0	0	0
ARF4_CCDS2884.1_ex4_3:57570172-57570195:-_5-5	ARF4	538	559	422	571	106	161	780	863	441	586	741	769
ARF5_CCDS34745.1_ex2_7:127229536-127229559:+_5-3	ARF5	154	190	94	91	253	161	218	102	212	213	48	121
ARF5_CCDS34745.1_ex3_7:127230121-127230144:-_5-5	ARF5	368	376	125	577	110	115	317	430	286	336	288	463
ARF5_CCDS34745.1_ex2_7:127229626-127229649:+_5-4	ARF5	411	547	653	134	303	691	337	344	374	501	242	363
ARF5_CCDS34745.1_ex1_7:127229202-127229225:-_5-2	ARF5	1170	1440	1042	1364	2326	2052	1332	1185	1265	1629	986	1380
ARF5_CCDS34745.1_ex1_7:127229167-127229190:-_5-1	ARF5	400	549	365	56	1261	928	370	397	448	562	189	372
ARF6_CCDS9695.1_ex0_14:50360679-50360702:+_5-3	ARF6	2	0	0	0	0	0	0	0	0	0	0	0
ARF6_CCDS9695.1_ex0_14:50360624-50360647:+_5-1	ARF6	254	263	39	340	16	398	233	397	198	211	136	173
ARF6_CCDS9695.1_ex0_14:50360696-50360719:-_5-4	ARF6	229	274	95	117	29	173	170	209	272	487	260	322
ARF6_CCDS9695.1_ex0_14:50360725-50360748:-_5-5	ARF6	788	849	142	79	250	293	777	536	540	512	468	456
ARF6_CCDS9695.1_ex0_14:50360663-50360686:-_5-2	ARF6	209	206	29	40	57	21	309	245	181	256	292	274
ARFGAP1_CCDS13515.1_ex5_20:61910252-61910275:+_5-4	ARFGAP1	710	908	560	614	394	878	688	455	611	794	505	707
ARFGAP1_CCDS13515.1_ex4_20:61909538-61909561:+_5-3	ARFGAP1	250	297	326	394	61	113	154	143	128	250	301	428
ARFGAP1_CCDS13515.1_ex4_20:61909503-61909526:+_5-1	ARFGAP1	48	61	0	114	581	1	40	8	74	66	73	153
ARFGAP1_CCDS13515.1_ex4_20:61909520-61909543:+_5-2	ARFGAP1	468	547	457	263	774	752	518	728	366	534	662	601
ARFGAP1_CCDS13515.1_ex5_20:61910287-61910310:-_5-5	ARFGAP1	671	547	348	1275	462	1033	492	518	510	602	782	689
ARFGAP2_CCDS7926.1_ex13_11:47197400-47197423:-_5-2	ARFGAP2	351	401	137	467	161	393	454	335	302	408	279	339
ARFGAP2_CCDS7926.1_ex14_11:47198149-47198172:-_5-5	ARFGAP2	470	470	757	352	408	320	490	508	347	476	290	456
ARFGAP2_CCDS7926.1_ex14_11:47198071-47198094:+_5-3	ARFGAP2	371	517	366	148	214	499	324	283	361	509	610	904
ARFGAP2_CCDS7926.1_ex12_11:47196731-47196754:+_5-1	ARFGAP2	660	854	1219	1089	976	1429	948	1058	879	1017	1217	1483
ARFGAP2_CCDS7926.1_ex14_11:47198125-47198148:+_5-4	ARFGAP2	656	713	297	707	435	332	330	385	428	639	582	525
ARFGAP3_CCDS14042.1_ex7_22:43218398-43218421:-_5-2	ARFGAP3	147	163	49	197	65	233	151	184	79	160	141	331
ARFGAP3_CCDS14042.1_ex7_22:43218318-43218341:-_5-1	ARFGAP3	110	123	56	15	53	51	72	37	76	107	57	66
ARFGAP3_CCDS14042.1_ex13_22:43236991-43237014:-_5-4	ARFGAP3	475	556	182	318	37	687	411	351	431	593	426	657
ARFGAP3_CCDS14042.1_ex13_22:43236962-43236985:-_5-3	ARFGAP3	454	530	449	217	405	296	833	394	411	481	278	573
ARFGAP3_CCDS14042.1_ex14_22:43243587-43243610:+_5-5	ARFGAP3	665	714	1031	406	2490	367	643	602	706	873	808	777
ARFGEF1_CCDS6199.1_ex36_8:68213484-68213507:+_5-5	ARFGEF1	308	322	53	0	12	109	280	254	167	243	98	190
ARFGEF1_CCDS6199.1_ex33_8:68204208-68204231:-_5-2	ARFGEF1	43	40	16	0	0	0	0	1	0	14	36	66
ARFGEF1_CCDS6199.1_ex35_8:68211534-68211557:-_5-4	ARFGEF1	235	306	108	95	262	98	279	168	145	187	111	157
ARFGEF1_CCDS6199.1_ex23_8:68170398-68170421:+_5-1	ARFGEF1	40	53	0	0	0	25	38	7	21	19	71	126
ARFGEF1_CCDS6199.1_ex34_8:68208676-68208699:-_5-3	ARFGEF1	419	402	90	390	187	710	256	464	356	536	260	376
ARFGEF2_CCDS13411.1_ex3_20:47567865-47567888:+_5-1	ARFGEF2	498	662	237	1294	100	301	244	376	494	429	586	750
ARFGEF2_CCDS13411.1_ex9_20:47587722-47587745:-_5-3	ARFGEF2	501	619	541	375	252	95	243	413	419	533	208	417
ARFGEF2_CCDS13411.1_ex15_20:47601967-47601990:+_5-5	ARFGEF2	263	289	139	114	109	540	328	461	271	351	151	282
ARFGEF2_CCDS13411.1_ex3_20:47567909-47567932:-_5-2	ARFGEF2	727	817	829	584	656	1120	554	555	478	725	534	624
ARFGEF2_CCDS13411.1_ex13_20:47592610-47592633:+_5-4	ARFGEF2	572	637	194	652	599	782	362	381	369	665	408	504
ARFIP1_CCDS34080.1_ex1_4:153784832-153784855:+_5-1	ARFIP1	148	161	14	10	2	50	44	127	51	91	30	36
ARFIP1_CCDS34080.1_ex4_4:153802129-153802152:+_5-4	ARFIP1	828	866	1054	405	1225	771	830	709	722	1119	677	939
ARFIP1_CCDS34080.1_ex4_4:153802262-153802285:+_5-5	ARFIP1	162	225	182	140	75	303	191	291	121	137	169	155
ARFIP1_CCDS34080.1_ex3_4:153793632-153793655:-_5-2	ARFIP1	53	52	395	33	19	0	81	95	51	34	73	81
ARFIP1_CCDS34080.1_ex3_4:153793694-153793717:+_5-3	ARFIP1	9	25	0	0	0	0	22	47	15	19	15	15
ARFIP2_CCDS55739.1_ex2_11:6499376-6499399:-_5-2	ARFIP2	28	50	79	230	99	0	52	29	40	8	10	4
ARFIP2_CCDS55739.1_ex3_11:6500131-6500154:-_5-4	ARFIP2	555	709	591	545	793	593	536	762	611	810	422	722
ARFIP2_CCDS55739.1_ex2_11:6499338-6499361:+_5-1	ARFIP2	47	75	135	37	135	112	7	20	52	56	16	38
ARFIP2_CCDS55739.1_ex3_11:6500144-6500167:-_5-5	ARFIP2	707	737	475	538	227	813	906	705	591	1034	501	579
ARFIP2_CCDS55739.1_ex2_11:6499412-6499435:+_5-3	ARFIP2	443	565	165	252	83	322	410	400	351	561	391	471
ARFRP1_CCDS13533.1_ex2_20:62333183-62333206:-_12-1	ARFRP1	436	490	0	163	54	150	60	91	116	189	142	160
ARFRP1_CCDS13533.1_ex3_20:62333550-62333573:+_12-5	ARFRP1	248	263	14	1	6	105	409	140	111	93	76	144
ARFRP1_CCDS13533.1_ex5_20:62338010-62338033:-_12-10	ARFRP1	868	1176	18	152	109	481	327	327	229	447	353	461
ARFRP1_CCDS13533.1_ex3_20:62333517-62333540:-_12-4	ARFRP1	551	573	146	354	95	330	250	302	144	184	394	310
ARFRP1_CCDS13533.1_ex4_20:62337707-62337730:-_12-6	ARFRP1	524	696	113	18	94	352	415	340	114	197	226	456
ARFRP1_CCDS13533.1_ex4_20:62337739-62337762:-_12-7	ARFRP1	458	482	46	71	41	146	124	114	82	79	54	152
ARFRP1_CCDS13533.1_ex2_20:62333221-62333244:-_12-2	ARFRP1	568	777	27	427	61	52	179	211	197	126	73	215
ARFRP1_CCDS13533.1_ex3_20:62333479-62333502:+_12-3	ARFRP1	702	884	98	53	73	765	302	315	113	92	218	218
ARFRP1_CCDS13533.1_ex5_20:62338043-62338066:-_12-11	ARFRP1	5	11	0	38	0	0	0	6	3	2	0	0
ARFRP1_CCDS13533.1_ex5_20:62338062-62338085:+_12-12	ARFRP1	601	715	100	236	4	531	421	300	234	331	259	392
ARFRP1_CCDS13533.1_ex4_20:62337773-62337796:+_12-8	ARFRP1	639	812	63	203	581	393	224	285	45	71	127	200
ARFRP1_CCDS13533.1_ex5_20:62337997-62338020:+_12-9	ARFRP1	544	628	204	58	130	318	271	496	105	93	147	178
ARG1_CCDS5145.1_ex3_6:131902400-131902423:+_5-5	ARG1	500	564	311	199	479	738	512	463	286	442	461	582
ARG1_CCDS5145.1_ex3_6:131902347-131902370:+_5-3	ARG1	254	305	551	465	1250	461	254	647	280	384	422	576
