sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
AADACL4_CCDS30590.1_ex0_1:12704714-12704737:-_5-1	AADACL4	328	447	697	298	230	573	579	442	405	673	424	439
AADACL4_CCDS30590.1_ex2_1:12721814-12721837:-_5-5	AADACL4	460	633	421	445	794	661	307	357	343	403	205	504
AADACL4_CCDS30590.1_ex1_1:12711326-12711349:-_5-3	AADACL4	544	672	635	591	710	610	509	604	626	793	618	879
AADAT_CCDS3814.1_ex10_4:171008288-171008311:-_5-3	AADAT	239	309	154	127	99	628	352	369	238	213	148	244
AADAT_CCDS3814.1_ex11_4:171009609-171009632:-_5-5	AADAT	45	56	27	0	0	101	116	29	69	76	9	24
AADAT_CCDS3814.1_ex8_4:170994468-170994491:+_5-2	AADAT	446	457	267	428	103	426	453	576	447	563	368	519
AADAT_CCDS3814.1_ex11_4:171009546-171009569:-_5-4	AADAT	581	732	193	535	210	286	278	247	355	469	274	531
AADAT_CCDS3814.1_ex8_4:170994416-170994439:+_5-1	AADAT	149	148	15	51	0	206	54	115	121	130	153	154
AAED1_CCDS35073.1_ex5_9:99417373-99417396:+_5-4	AAED1	889	1071	8081	511	539	1141	757	792	824	1273	792	1084
AAED1_CCDS35073.1_ex5_9:99417399-99417422:+_5-5	AAED1	404	541	651	166	623	654	596	502	461	425	490	494
AAED1_CCDS35073.1_ex4_9:99417018-99417041:-_5-3	AAED1	87	89	129	8	12	0	29	40	14	41	65	17
AAED1_CCDS35073.1_ex3_9:99413958-99413981:+_5-2	AAED1	53	45	26	0	0	19	134	203	25	39	34	27
AAED1_CCDS35073.1_ex2_9:99413754-99413777:+_5-1	AAED1	285	346	733	322	675	499	292	250	316	503	352	483
AAGAB_CCDS42050.1_ex4_15:67501824-67501847:-_5-2	AAGAB	208	264	145	39	219	470	125	100	133	281	210	283
AAGAB_CCDS42050.1_ex6_15:67528322-67528345:-_5-5	AAGAB	407	493	173	348	337	453	285	418	429	531	293	362
AAGAB_CCDS42050.1_ex5_15:67524213-67524236:-_5-4	AAGAB	220	287	217	30	175	84	194	87	121	157	113	185
AAGAB_CCDS42050.1_ex3_15:67500938-67500961:+_5-1	AAGAB	477	552	311	301	351	381	160	204	425	499	442	635
AAGAB_CCDS42050.1_ex5_15:67524161-67524184:+_5-3	AAGAB	221	264	221	9	31	318	185	29	162	300	276	249
AAK1_CCDS1893.2_ex11_2:69748068-69748091:-_5-2	AAK1	634	769	452	125	798	628	381	439	595	702	781	1027
AAK1_CCDS1893.2_ex20_2:69870036-69870059:-_5-5	AAK1	537	603	397	118	163	569	407	368	418	481	320	650
AAK1_CCDS1893.2_ex15_2:69757767-69757790:-_5-4	AAK1	371	400	68	275	171	498	280	271	218	275	413	593
AAK1_CCDS1893.2_ex13_2:69754414-69754437:+_5-3	AAK1	1131	1376	1403	628	1124	2741	929	965	1151	1615	1353	1579
AAK1_CCDS1893.2_ex10_2:69746228-69746251:-_5-1	AAK1	948	1078	883	1314	660	882	1307	1154	1000	1181	1101	1640
AAMDC_CCDS8254.1_ex1_11:77580845-77580868:+_5-4	AAMDC	335	405	212	140	542	267	256	373	350	495	217	409
AAMDC_CCDS8254.1_ex0_11:77553633-77553656:+_5-1	AAMDC	776	946	255	807	393	994	674	755	713	903	578	837
AAMDC_CCDS8254.1_ex1_11:77580763-77580786:-_5-2	AAMDC	377	509	727	390	319	688	388	310	448	547	220	362
AAMDC_CCDS8254.1_ex1_11:77580785-77580808:-_5-3	AAMDC	530	746	280	450	445	832	844	558	514	602	566	676
AAMDC_CCDS8254.1_ex2_11:77583223-77583246:-_5-5	AAMDC	435	491	316	226	804	597	486	447	632	686	385	425
AAMP_CCDS33378.1_ex10_2:219134694-219134717:-_5-5	AAMP	939	1039	32	223	219	444	948	579	389	399	292	302
AAMP_CCDS33378.1_ex9_2:219134119-219134142:+_5-4	AAMP	751	694	812	1074	494	1314	688	825	537	792	395	609
AAMP_CCDS33378.1_ex6_2:219131229-219131252:+_5-1	AAMP	558	754	58	264	340	201	293	288	106	45	172	145
AAMP_CCDS33378.1_ex8_2:219132241-219132264:+_5-2	AAMP	76	90	141	303	276	239	271	238	36	97	167	187
AAMP_CCDS33378.1_ex8_2:219132278-219132301:-_5-3	AAMP	547	645	100	124	228	995	81	133	53	50	117	236
AANAT_CCDS11745.1_ex0_17:74464923-74464946:-_5-1	AANAT	599	786	550	637	1097	938	488	520	368	751	530	710
AANAT_CCDS11745.1_ex1_17:74465314-74465337:-_5-4	AANAT	263	377	188	24	653	241	117	232	220	404	204	295
AANAT_CCDS11745.1_ex1_17:74465365-74465388:+_5-5	AANAT	1094	1194	1533	816	1134	1527	1081	1059	964	1403	1075	1370
AANAT_CCDS11745.1_ex0_17:74464970-74464993:-_5-2	AANAT	537	607	535	370	430	682	621	425	330	509	365	386
AANAT_CCDS11745.1_ex1_17:74465300-74465323:-_5-3	AANAT	454	548	1039	709	449	634	460	398	331	412	307	548
AAR2_CCDS13273.1_ex0_20:34827917-34827940:-_5-2	AAR2	525	623	588	320	993	788	508	484	719	787	505	751
AAR2_CCDS13273.1_ex0_20:34827975-34827998:+_5-3	AAR2	384	471	922	228	286	321	479	347	392	593	480	872
AAR2_CCDS13273.1_ex0_20:34828005-34828028:-_5-4	AAR2	77	104	2	0	0	94	22	125	18	35	78	278
AAR2_CCDS13273.1_ex0_20:34827888-34827911:+_5-1	AAR2	194	297	7	25	95	170	91	138	339	378	283	254
AAR2_CCDS13273.1_ex0_20:34828259-34828282:-_5-5	AAR2	212	248	232	102	237	96	246	206	207	266	214	139
AARD_CCDS34935.1_ex0_8:117950700-117950723:+_5-5	AARD	654	757	499	337	308	819	391	530	627	961	558	807
AARD_CCDS34935.1_ex0_8:117950578-117950601:+_5-2	AARD	592	723	184	269	771	746	741	673	384	627	572	460
AARD_CCDS34935.1_ex0_8:117950667-117950690:+_5-4	AARD	424	342	82	348	221	219	333	591	224	268	273	262
AARD_CCDS34935.1_ex0_8:117950565-117950588:-_5-1	AARD	536	581	320	412	269	346	330	452	468	482	511	607
AARD_CCDS34935.1_ex0_8:117950645-117950668:+_5-3	AARD	449	541	1443	250	844	643	424	334	558	787	379	919
AARS_CCDS32474.1_ex16_16:70305735-70305758:-_5-3	AARS	598	761	302	173	6	901	468	348	326	254	412	358
AARS_CCDS32474.1_ex10_16:70298929-70298952:-_5-1	AARS	384	491	0	0	2	105	68	113	73	58	15	44
AARS_CCDS32474.1_ex13_16:70302238-70302261:+_5-2	AARS	744	893	875	456	19	167	104	102	92	153	116	79
AARS_CCDS32474.1_ex18_16:70310945-70310968:-_5-5	AARS	289	400	14	16	163	152	82	59	38	62	8	9
AARS_CCDS32474.1_ex16_16:70305762-70305785:+_5-4	AARS	500	640	309	401	195	574	171	172	283	274	231	159
AARS2_CCDS34464.1_ex15_6:44274721-44274744:-_5-2	AARS2	522	610	96	84	92	434	93	284	184	202	160	145
AARS2_CCDS34464.1_ex16_6:44275094-44275117:-_5-4	AARS2	506	569	262	263	21	153	415	466	265	416	140	148
AARS2_CCDS34464.1_ex13_6:44274062-44274085:+_5-1	AARS2	1179	1589	420	214	40	936	771	642	415	542	278	390
AARS2_CCDS34464.1_ex15_6:44274752-44274775:+_5-3	AARS2	156	198	0	12	23	63	73	67	117	173	66	98
AARS2_CCDS34464.1_ex20_6:44279950-44279973:-_5-5	AARS2	382	490	229	36	5	233	65	163	53	146	199	268
AARSD1_CCDS58552.1_ex6_17:41108278-41108301:+_5-3	AARSD1	219	307	224	50	545	329	268	173	164	166	119	488
AARSD1_CCDS58552.1_ex9_17:41113311-41113334:-_5-2	AARSD1	559	604	301	753	611	590	286	291	444	526	520	654
AARSD1_CCDS58552.1_ex7_17:41108486-41108509:+_5-4	AARSD1	393	402	698	41	110	229	400	375	351	393	427	613
AARSD1_CCDS58552.1_ex10_17:41116157-41116180:-_5-1	AARSD1	784	893	643	454	1010	1220	1050	863	484	584	327	521
AARSD1_CCDS58552.1_ex7_17:41108542-41108565:-_5-5	AARSD1	540	670	391	201	553	498	287	279	243	347	361	456
AASDH_CCDS3504.1_ex11_4:57244302-57244325:+_5-5	AASDH	150	245	0	100	134	73	148	79	123	111	120	105
AASDH_CCDS3504.1_ex9_4:57221497-57221520:-_5-2	AASDH	332	337	41	224	196	267	419	379	403	661	103	176
AASDH_CCDS3504.1_ex10_4:57237668-57237691:+_5-3	AASDH	445	547	470	158	697	469	558	453	573	685	418	559
AASDH_CCDS3504.1_ex10_4:57237733-57237756:+_5-4	AASDH	253	347	411	273	459	729	154	139	328	335	145	120
AASDH_CCDS3504.1_ex7_4:57220310-57220333:+_5-1	AASDH	388	441	85	180	346	563	297	354	313	362	390	591
AASDHPPT_CCDS31664.1_ex0_11:105948583-105948606:-_5-2	AASDHPPT	200	295	103	319	6	118	58	57	161	229	79	133
AASDHPPT_CCDS31664.1_ex0_11:105948544-105948567:+_5-1	AASDHPPT	562	624	472	96	123	949	194	256	405	506	127	197
AASDHPPT_CCDS31664.1_ex1_11:105950373-105950396:-_5-4	AASDHPPT	798	965	2111	470	120	891	804	832	904	1110	574	648
AASDHPPT_CCDS31664.1_ex1_11:105950310-105950333:-_5-3	AASDHPPT	121	156	4	0	0	196	59	69	42	99	121	45
AASDHPPT_CCDS31664.1_ex3_11:105962110-105962133:+_5-5	AASDHPPT	19	21	0	30	112	0	0	7	11	13	48	66
AASS_CCDS5783.1_ex22_7:121773585-121773608:-_5-5	AASS	597	638	410	96	450	1200	429	500	702	853	419	633
AASS_CCDS5783.1_ex13_7:121753231-121753254:+_5-2	AASS	177	270	271	343	163	280	271	223	207	251	105	130
AASS_CCDS5783.1_ex11_7:121741456-121741479:+_5-1	AASS	39	22	4	9	0	0	61	60	88	72	15	26
AASS_CCDS5783.1_ex15_7:121755121-121755144:+_5-3	AASS	365	396	273	128	50	504	230	314	320	483	158	165
AASS_CCDS5783.1_ex16_7:121756696-121756719:+_5-4	AASS	572	730	154	211	0	498	409	251	318	301	372	405
AATF_CCDS32632.1_ex2_17:35310322-35310345:+_5-4	AATF	328	397	133	52	4	110	152	161	212	221	301	397
AATF_CCDS32632.1_ex1_17:35307692-35307715:-_5-3	AATF	551	611	36	271	7	94	203	350	207	276	219	370
AATF_CCDS32632.1_ex1_17:35307610-35307633:-_5-2	AATF	359	356	331	118	111	151	239	314	186	400	172	229
AATF_CCDS32632.1_ex2_17:35310574-35310597:+_5-5	AATF	305	375	0	83	0	213	113	47	20	32	65	76
AATF_CCDS32632.1_ex1_17:35307577-35307600:+_5-1	AATF	67	65	1	74	0	2	11	28	16	6	0	0
AATK_CCDS45807.1_ex4_17:79096992-79097015:-_5-3	AATK	674	818	555	564	1518	1122	1088	1093	541	695	691	951
AATK_CCDS45807.1_ex3_17:79095970-79095993:-_5-2	AATK	809	1010	653	418	1843	763	705	828	673	848	508	986
AATK_CCDS45807.1_ex7_17:79100225-79100248:-_5-5	AATK	478	556	786	104	57	633	304	425	408	384	376	650
AATK_CCDS45807.1_ex5_17:79098584-79098607:-_5-4	AATK	436	501	313	263	118	514	236	198	452	443	279	343
AATK_CCDS45807.1_ex3_17:79095931-79095954:+_5-1	AATK	634	780	2261	402	540	279	562	564	295	637	412	562
ABAT_CCDS10534.1_ex3_16:8844302-8844325:+_5-1	ABAT	255	366	590	390	1197	277	267	380	251	428	298	339
ABAT_CCDS10534.1_ex3_16:8844340-8844363:+_5-2	ABAT	490	638	2075	563	172	421	591	699	577	683	399	580
ABAT_CCDS10534.1_ex6_16:8858667-8858690:-_5-3	ABAT	202	268	70	114	2	653	334	278	114	210	361	407
ABAT_CCDS10534.1_ex9_16:8862743-8862766:-_5-5	ABAT	421	514	292	1160	314	716	223	266	367	390	268	467
ABAT_CCDS10534.1_ex8_16:8862083-8862106:+_5-4	ABAT	504	627	323	58	359	476	373	500	355	512	327	411
ABCA1_CCDS6762.1_ex36_9:107593327-107593350:-_5-4	ABCA1	493	608	363	551	513	361	493	578	527	719	336	357
ABCA1_CCDS6762.1_ex28_9:107581892-107581915:+_5-1	ABCA1	488	600	519	967	233	791	452	615	666	715	543	746
ABCA1_CCDS6762.1_ex29_9:107582304-107582327:-_5-3	ABCA1	535	619	182	414	546	493	400	428	505	680	573	919
ABCA1_CCDS6762.1_ex43_9:107620822-107620845:-_5-5	ABCA1	399	440	489	510	346	641	421	298	400	497	462	676
ABCA1_CCDS6762.1_ex28_9:107581948-107581971:+_5-2	ABCA1	566	648	151	492	447	178	760	856	402	429	291	445
